name,altName,country,lat,lon,action,islandCrag,islandCragId
"Falkberget, Luleå",Luleå,Sweden,65.919701,22.883301,map,Falkberget,516e621c62bfea195a022011
Midskogsberget,Sundsvall,Sweden,62.306181,17.288146,add,,
Häller,Bohuslän,Sweden,58.429415,11.468654,map,Häller,516e27c062bfea195a010016
Roche aux Sabots,Fontainebleau,France,48.374489,2.512372,map,La Roche Aux Crocs,516e14ce62bfea195a006c90
Stanage,Peak District,United Kingdom,53.352633,-1.637607,map,Peak District,516e4e6362bfea195a01a8b2
Ågelsjön,Norrköping,Sweden,58.674439,16.121578,map,Ågelsjön,516e27bf62bfea195a00ff29
Railey Beach,Krabi,Thailand,8.011296,98.838007,map,Railay,516d85a4bdc0f71fdd051903
Rocktown,Chattanooga,"TN, USA",34.980221,-85.35244,map,Rocktown,516cf537bdc0f71fdd007485
Val Di Mello,Milan,Italy,46.251999,9.64728,map,Val Di Mello,516d677abdc0f71fdd047ad1
Rollarit,Helsinki,Finland,60.248699,25.141399,map,Rollarit,516e621c62bfea195a022017
Mosjön,Örnsköldsvik,Sweden,63.322049,18.999374,map,Mosjön,516e27c062bfea195a00ffe0
Margalef,Costa Daurada,Spain,41.284478,0.753846,map,Margalef,516d1ec8bdc0f71fdd023926
Cowell,Fayetteville,"AR, USA",35.876046,-93.124495,map,Cowell,516cf537bdc0f71fdd0074c2
Siiri,Hämeenlinna,Finland,61.008487,24.562876,map,Hämeenlinna,516e621c62bfea195a022053
Åkers styckebruk,Stockholm,Sweden,59.238954,17.072679,add,,
Nummi,Lohja,Finland,60.3839,23.881399,map,Nummi,516e621c62bfea195a022020
Solvalla,Espoo,Finland,60.289322,24.566588,map,Solvalla,516e621c62bfea195a02202a
Sjöända,Linköping,Sweden,57.999184,16.216507,map,Sjöända,516e27bf62bfea195a00ff35
Dödlarsberget,Boden,Sweden,65.78863,20.691032,map,Dödlarsberget,516e27bf62bfea195a00ff74
Caley,Yorkshire,United Kingdom,53.897202,-1.65177,map,Caley,516e4e6362bfea195a01a8b6
Orhem,Stockholm,Sweden,59.243324,18.15178,map,Orhem,516e27c062bfea195a00ffca
Louhos,Kuusankoski,Finland,60.900173,26.647103,map,Louhos,516e621c62bfea195a022029
Lammi,Hämeenlinna,Finland,61.053176,25.005097,map,Lammi,516e14ce62bfea195a006c4c
Luohua,Oulu,Finland,64.501404,25.2323,map,Luohua,516e621c62bfea195a022044
Tung Lung Chau,null,null,22.254804,114.294527,add,,
Hönö,Göteborg,Sweden,57.698529,11.619372,map,Hönö,516e27c062bfea195a00ffb4
Välaberget,Östersund,Sweden,63.296189,13.212669,map,Välaberget,516e27bf62bfea195a00ff5d
Mustavuori,Repoveden kansallispuisto,Finland,61.295601,27.078899,map,Mustavuori,516e621c62bfea195a02201f
Rumney,Manchester,"NH, USA",43.801084,-71.806297,map,Rumney,516cf537bdc0f71fdd0074b5
Juniskär,Sundsvall,Sweden,62.300257,17.461432,map,Juniskär,516e27c062bfea195a010030
Mt. Evans,Denver,"CO, USA",39.632267,-105.620709,add,,
Keljonkangas,Jyväskylä,Finland,62.1912,25.7227,map,Keljonkangas,516e621c62bfea195a02205d
Brimham,Yorkshire,United Kingdom,54.078602,-1.68447,map,Brimham,516e4e6362bfea195a01a8b9
Bistaberget,Nyköping,Sweden,58.624157,16.857362,map,Bistaberget,516e27bf62bfea195a00ff37
Hollenderan,Kvaløya,Norway,69.7276,18.5425,add,,
Hopiavuori,Kustavi,Finland,60.554536,21.407268,map,Hopiavuori,516e621c62bfea195a02201d
Harbak,Trondheim,Norway,64.074751,10.043027,map,Harbak,516e3f5762bfea195a01774d
95.2,Fontainebleau,France,48.385984,2.52942,map,Fontainebleau,516d4ae7bdc0f71fdd03b6da
Berdorf,null,null,49.823809,6.348724,map,Berdorf,516dad970b3db80e37000049
Örnberget,Stockholm,Sweden,59.207491,17.881697,map,Örnberget,516e27bf62bfea195a00ff2b
Tampereen hienoin kivi,Nokia,Finland,61.503813,23.212523,add,,
The Ghost Kitchen,Kalymnos,Greece,37.033798,26.9578,map,Kalymnos,516d4ae8bdc0f71fdd03b81a
"Leavenworth, WA",Leavenworth,USA,47.596787,-120.660782,map,Leavenworth,516cf537bdc0f71fdd007488
Gorges du Verdon,Marseille,France,43.737099,6.34983,map,Gorges Du Court,516e14ce62bfea195a006c7c
Bergafjärden,Sundsvall,Sweden,62.276269,17.457619,map,Bergafjärden,516e27c062bfea195a00ffb7
Ängesbyn,Boden,Sweden,65.763626,21.987247,add,,
Martti Servo,Rovaniemi,Finland,66.380699,25.472099,add,,
Odyssey,Kalymnos,Greece,37.012901,26.9447,map,Kalymnos,516d4ae8bdc0f71fdd03b81a
Clear Creek Canyon,Denver,"CO, USA",39.7399,-105.324,map,Clear Creek Canyon,516cf537bdc0f71fdd00749f
Glendalough,Dún Laoghaire,Ireland,53.007967,-6.360586,map,Glendalough,516e81f862bfea195a02c23d
